sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
266048143541722,266048244197102,73.417722,0.632911,158,116,1
266048244197102,266048345075873,70.063694,0.636943,157,110,1
266048345075873,266048445680242,81.250000,0.000000,160,130,0
266048445680242,266048546911788,84.177215,0.000000,158,133,0
266048546911788,266048647414716,82.098765,0.617284,162,133,1
266048647414716,266048748726447,78.481013,0.632911,158,124,1
266048748726447,266048849355964,79.874214,0.000000,159,127,0
266048849355964,266048950031637,81.761006,0.000000,159,130,0
266048950031637,266049050603089,85.534591,0.000000,159,136,0
266049050603089,266049151308656,82.278481,0.000000,158,130,0
266049151308656,266049251873127,83.750000,0.625000,160,134,1
266049251873127,266049352420516,80.891720,0.000000,157,127,0
266049352420516,266049453142708,73.417722,0.632911,158,116,1
266049453142708,266049553784371,76.582278,0.632911,158,121,1
266049553784371,266049654540278,83.018868,0.000000,159,132,0
266049654540278,266049755104338,75.471698,0.628931,159,120,1
266049755104338,266049855732584,69.811321,0.628931,159,111,1
266049855732584,266049956388566,84.177215,0.000000,158,133,0
266049956388566,266050057030199,84.375000,0.000000,160,135,0
266050057030199,266050157650696,78.616352,0.628931,159,125,1
266050157650696,266050258337224,77.358491,0.628931,159,123,1
266050258337224,266050358966466,84.177215,0.000000,158,133,0
266050358966466,266050459689845,83.850932,0.000000,161,135,0
266050459689845,266050560328632,81.987578,0.621118,161,132,1
266050560328632,266050661099983,84.905660,0.000000,159,135,0
266050661099983,266050761735428,79.113924,0.000000,158,125,0
266050761735428,266050862477293,69.565217,1.242236,161,112,2
266050862477293,266050963111246,75.949367,0.000000,158,120,0
266050963111246,266051063709743,69.426752,1.273885,157,109,2
266051063709743,266051164344839,78.395062,0.617284,162,127,1
266051164344839,266051265913229,76.250000,0.625000,160,122,1
266051265913229,266051366626977,79.874214,0.628931,159,127,1
266051366626977,266051467421851,79.113924,0.000000,158,125,0
266051467421851,266051568102946,80.503145,0.628931,159,128,1
266051568102946,266051668713722,78.750000,0.000000,160,126,0
266051668713722,266051769371594,74.683544,0.632911,158,118,1
266051769371594,266051870185920,73.584906,0.628931,159,117,1
266051870185920,266051970898307,81.645570,0.000000,158,129,0
266051970898307,266052071850397,64.596273,0.621118,161,104,1
266052071850397,266052172672140,59.119497,0.000000,159,94,0
266052172672140,266052273228728,82.389937,0.000000,159,131,0
266052273228728,266052373853114,78.750000,0.000000,160,126,0
266052373853114,266052474463124,79.746835,0.000000,158,126,0
266052474463124,266052575337272,80.625000,0.625000,160,129,1
266052575337272,266052676360625,77.215190,0.000000,158,122,0
266052676360625,266052777052399,79.874214,0.628931,159,127,1
266052777052399,266052877612985,72.784810,0.632911,158,115,1
266052877612985,266052978257603,83.647799,0.000000,159,133,0
266052978257603,266053078848739,81.761006,0.628931,159,130,1
266053078848739,266053179534120,84.905660,0.000000,159,135,0
266053179534120,266053280145620,74.213836,0.628931,159,118,1
266053280145620,266053381040027,72.955975,0.628931,159,116,1
266053381040027,266053481630358,74.213836,0.628931,159,118,1
266053481630358,266053582531864,85.534591,0.000000,159,136,0
266053582531864,266053683158513,81.875000,0.000000,160,131,0
266053683158513,266053784449403,80.124224,0.621118,161,129,1
266053784449403,266053885037281,76.100629,0.000000,159,121,0
266053885037281,266053985629475,82.802548,0.000000,157,130,0
